Title,Summary,Genre,Feature
소공녀,"담배, 술, 남자친구만 있으면 행복하다는 미소. 근데 가사도우미 일당은 그대로건만 담뱃값은 올라버렸다. 포기 못 하는 담배 대신 월세를 희생하기로 결정한 그녀. 결국 노숙자 신세가 되어 친구 집을 전전한다. 나 좀 재워줄 사람 없나?",한국 영화 드라마 장르 영화 사회 이슈 드라마 인디 영화,잔잔한 분위기
히말라야,"돌아온 전설의 산악인, 영원한 대장 엄홍길. 조난 당한 동료의 시신을 수습하기 위해 기록도, 명예도, 보상도 없는 히말라야 원정을 떠난다. 기다려, 우리가 꼭 데리러 갈게.",한국 영화 액션   어드벤처 어드벤처 드라마 장르 영화,감동 풍부한 감정
계춘할망,"12년 전 실종된 손녀가 돌아왔다! 칠십 평생 소원을 이룬 할머니와의 동거가 도무지 적응 불가인 열아홉 손녀. 그런데 어딘가 많이 삐딱한 이 손녀, 왜 갑자기 돌아온 걸까?",한국 영화 드라마 장르 영화,감상적 풍부한 감정
특별시민,이미지 관리는 누구보다 자신 있는 서울 시장 변종구. 알고 보면 더러운 냄새가 진동하는 정치꾼이다. 유례없는 서울 시장 3선을 준비 중인 그에게 들켜선 안 될 비밀이 생겨 버렸다. 무슨 수를 써서라도 반드시 숨겨야 할 비밀이.,한국 영화 드라마 장르 영화 드라마 장르 영화 정치,감상적 풍부한 감정
집으로 가는 길,생활비라도 벌어볼 생각에 프랑스로 원석을 운반한 정연. 그런데 그게 마약이었다니. 감옥에 갇힌 평범한 주부. 온갖 수모와 역경을 이겨내고 다시 집으로 돌아올 수 있을까.,한국 영화 드라마 장르 영화 사회 이슈 드라마,다크 풍부한 감정
남과 여,"아픈 아이를 둔 두 남녀. 핀란드에서 우연히 만나 하룻밤을 함께하게 된다. 이후, 묘한 끌림을 뒤로한 채 서울로 돌아온 두 사람. 그리고 찾아온 재회. 각자 가정이 있지만 서로를 향한 감정을 억누를 수 없다. 우리, 사랑해도 될까.",한국 영화 드라마 장르 영화 로맨스 영화 드라마 장르 영화 로맨스,풍부한 감정 로맨스
하모니,"여자 교도소에다 합창단을요? 편견을 뚫고 화음으로 서로를 보듬는 재소자들. 그리고 4년이 지난 오늘, 세상과 만날 단 하루를 위해 그녀들이 손에 손을 잡고 무대에 오른다.",한국 영화 드라마 장르 영화,감상적 가슴 뭉클 풍부한 감정
도가니,"철저히 묻힌 사건이 있다. 교육 현장에서 장애 아동들에게 자행된 성폭행. 피해자는 외면받고 가해자는 여전히 교단에 서는 현실. 그래서, 나는 세상에 말하기로 결심했다.",영화 실화 바탕 한국 영화 드라마 장르 영화 드라마 장르 영화 범죄 사회 이슈 드라마,폭력 긴장감 넘치는 풍부한 감정
차이나타운,"지하철 10번 보관함에 버려져 이름이 ‘일영’인 아이. 차이나타운 밑바닥 세계의 대모 ‘엄마’ 손에 자란다. 생존이 전부였던 일영, 어느 날 빚 독촉을 하러 갔다가 석현을 만난다. 그리고 처음으로, 엄마 아닌 다른 세계를 만난다.",한국 영화 드라마 장르 영화 드라마 장르 영화 범죄,다크
시월애,이 편지 정체가 뭐지? ‘일 마레’로 이사 온 건축가 성현에게 배달되는 편지. 날씨를 맞히는가 하면 예언처럼 현실이 되기도 한다. 알고 보니 다른 시간대에 있는 성우 은주가 보낸 것. 앞으로 펼쳐질 둘의 시간은 어디로 흘러갈까.,한국 영화 SF   판타지 판타지 영화 드라마 장르 영화 로맨스 영화 드라마 장르 영화 로맨스,가슴 뭉클 로맨스
생일,"먼저 세상을 떠난 아들 수호를 그리며 살아가는 가족들. 그리움이 커져가는 어느 날 결심한다. 돌아오는 수호의 생일을 축하하기로. 1년에 한 번, 모두가 모여 수호를 기억하는 특별한 날. 아름다웠던 너의 모습을 기억할게, 영원히.",한국 영화 드라마 장르 영화,가슴 뭉클 풍부한 감정
싱글라이더,세상을 다 가진 줄 알았다. 하루아침에 모든 걸 잃고 주변의 손가락질까지 받게 될 줄이야. 도망치듯 가족을 찾아간 그의 앞에는 믿고 싶지 않은 현실이 기다리고 있다.,한국 영화 드라마 장르 영화,잔잔한 분위기 다크 풍부한 감정
쌍화점,"원나라의 간섭을 받는 고려. 후계자 생산 압박에 시달리던 왕이 극단의 처방을 내린다. 자신의 연인이자 호위무사에게 왕후와의 합궁을 명한 것. 하지만 그날 밤 이후, 세 사람의 운명은 영원히 바뀌고 만다. 금지된 사랑의 끝은 어디인가.",LGBTQ 영화 시대물 한국 영화 드라마 장르 영화 드라마 장르 영화 정치 드라마 장르 영화 관능적 로맨스 영화 드라마 장르 영화 로맨스 관능적 로맨틱 영화,관능적 로맨스
소수의견,강제 철거로 인해 발생한 시위에서 10대 소년과 경찰관이 목숨을 잃는다. 이 사건에 배정된 신참 국선 변호사는 진실을 파헤치러 나선다.,영화 도서 원작 한국 영화 드라마 장르 영화 법정 영화 드라마 장르 사회 이슈 드라마,관능적 로맨스
스윙키즈,"한국 전쟁이 한창이던 시절. 또 하나의 전장인 포로수용소에 때아닌 춤바람이 분다. 대외 선전용 댄스단에 들어가 미제 춤에 빠진 사람들. 매직 슈즈를 신고 스텝을 밟는 순간, 모두 하나가 되는 마법이 벌어진다!",한국 영화 드라마 장르 영화,감동
은교,"칩거 생활을 하던 원로 시인이 당찬 여고생 은교를 만나면서 젊은 시절의 정열을 느끼고, 이 사실을 알게 된 시인의 제자는 분노한다.",영화 도서 원작 한국 영화 드라마 장르 영화 로맨스 영화 드라마 장르 영화 로맨스,은밀한 로맨스
글러브,"대충 시간이나 때우지 뭐! 음주 폭행 물의를 일으킨 프로 야구 선수가 청각 장애 야구부 코치로 부임한다. 한데 못 듣는 아이들의 목표가 무려 전국 대회 출전이라니, 가능한 일이야? 실화를 바탕으로 한 감동 스토리, 지금 시작된다.",영화 실화 바탕 한국 영화 드라마 장르 영화 스포츠 드라마,기분 좋아지는 시간 가슴 뭉클 풍부한 감정
